Objective,Percentage
Interest in the Japanese language,61.8
Current or future work in home country,55.9
"Interest in anime, manga, J-POP, fashion, etc.",55.2
Future work in Japan,53.0
"Interest in history, literature, arts, etc.",50.9
Sightseeing in Japan,41.7
Study in Japan,39.7
Advancement in education in home country,33.6
Interest in science and/or technology,26.7
Interest in intercultural understanding,22.9
"Interest in politics, economy and/or society",20.5
Mother language or heritage language,13.7
Other,4.9
No answer,4.6
